iter	Passed	Remaining
0	134	134784
1	136	67979
2	137	45531
3	138	34425
4	139	27664
5	139	23165
6	140	19958
7	141	17531
8	141	15633
9	142	14117
10	143	12862
11	143	11813
12	143	10929
13	144	10172
14	144	9519
15	145	8940
16	145	8428
17	146	7982
18	146	7579
19	147	7213
20	147	6883
21	148	6592
22	149	6365
23	150	6120
24	151	5890
25	151	5679
26	152	5477
27	152	5293
28	152	5118
29	153	4956
30	153	4807
31	154	4664
32	154	4530
33	155	4408
34	155	4289
35	155	4177
36	156	4069
37	156	3969
38	157	3874
39	157	3782
40	157	3694
41	158	3611
42	158	3534
43	159	3459
44	159	3387
45	159	3317
46	160	3251
47	160	3190
48	161	3128
49	161	3070
50	162	3014
51	162	2959
52	162	2907
53	163	2870
54	164	2824
55	164	2778
56	165	2732
57	165	2689
58	166	2650
59	166	2609
60	166	2569
61	167	2531
62	167	2495
63	168	2459
64	168	2424
65	169	2392
66	169	2360
67	169	2329
68	170	2297
69	170	2267
70	171	2237
71	171	2210
72	171	2182
73	172	2155
74	172	2128
75	173	2103
76	173	2078
77	173	2054
78	174	2031
79	174	2008
80	175	1985
81	175	1963
82	175	1941
83	176	1920
84	176	1899
85	176	1879
86	177	1859
87	177	1841
88	178	1822
89	178	1804
90	179	1795
91	180	1782
92	181	1766
93	181	1750
94	182	1734
95	182	1717
96	182	1701
97	183	1686
98	183	1670
99	184	1656
100	184	1641
101	184	1627
102	185	1613
103	185	1600
104	186	1586
105	186	1572
106	186	1559
107	187	1546
108	187	1533
109	188	1521
110	188	1509
111	188	1497
112	189	1486
113	189	1474
114	190	1464
115	190	1454
116	191	1442
117	191	1431
118	191	1420
119	192	1410
120	192	1400
121	193	1389
122	193	1379
123	193	1369
124	195	1366
125	195	1356
126	195	1346
127	196	1337
128	196	1329
129	197	1320
130	197	1311
131	198	1303
132	198	1294
133	199	1286
134	199	1278
135	199	1269
136	200	1261
137	200	1253
138	201	1245
139	201	1237
140	201	1229
141	202	1221
142	202	1214
143	203	1207
144	203	1200
145	203	1193
146	204	1185
147	204	1178
148	205	1172
149	205	1165
150	206	1158
151	206	1151
152	206	1145
153	207	1138
154	207	1131
155	208	1126
156	208	1119
157	208	1113
158	209	1106
159	210	1104
160	211	1099
161	211	1094
162	212	1090
163	212	1085
164	213	1079
165	213	1073
166	214	1067
167	214	1062
168	214	1056
169	215	1051
170	215	1045
171	216	1041
172	216	1035
173	217	1030
174	217	1025
175	217	1019
176	218	1014
177	218	1009
178	219	1004
179	219	999
180	219	995
181	220	990
182	220	986
183	221	981
184	221	976
185	222	971
186	222	967
187	222	962
188	223	958
189	223	953
190	224	948
191	224	944
192	224	939
193	225	935
194	226	934
195	226	930
196	227	927
197	228	923
198	228	919
199	229	916
200	229	911
201	229	907
202	230	904
203	230	899
204	231	895
205	231	892
206	232	889
207	232	885
208	233	882
209	233	878
210	233	874
211	234	871
212	234	867
213	235	863
214	235	860
215	236	857
216	236	854
217	237	851
218	237	847
219	238	844
220	238	840
221	239	837
222	239	834
223	239	831
224	240	827
225	241	827
226	242	824
227	242	822
228	243	819
229	243	816
230	244	812
231	244	809
232	245	806
233	245	803
234	245	800
235	246	797
236	246	794
237	247	791
238	247	788
239	248	785
240	248	782
241	248	779
242	249	776
243	249	773
244	250	770
245	250	767
246	250	764
247	251	761
248	251	759
249	252	756
250	252	753
251	252	750
252	253	747
253	253	745
254	254	742
255	254	740
256	255	738
